Source,Actor Seg,Final Segment,Pickup,Delivery,Distinct Order Count,Product Name
WLS,Direct,MSMB Direct,,,11,Mobility Voice
WLS,Direct,MSMB Direct,,,5,Mobility Voice
WLS,Direct,MSMB Direct,,,1,Mobility Voice
WLS,Direct,MSMB Direct,,,1,Mobility Voice
WLS,Direct,MSMB Direct,,,15,Mobility Voice
WLS,Direct,MSMB Direct,,,1,Mobility Voice
WLS,Direct,MSMB Direct,,,5,Mobility Voice
WLS,Direct,MSMB Direct,,,18,Mobility Voice
WLS,Direct,MSMB Direct,,,3,Mobility Voice
WLS,Direct,MSMB Direct,,,7,Mobility Voice
WLS,Direct,MSMB Direct,,,6,Mobility Voice
WLS,Others,MSMB Others,,MTD,1,Mobility Voice
WLS,Others,MSMB Others,,,3,Mobility Voice
WLS,Others,MSMB Others,,,3,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,9,Mobility Voice
WLS,Others,MSMB Others,,,3,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,6,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,4,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,MTD,6,Mobility Voice
WLS,Others,MSMB Others,,,4,Mobility Voice
WLS,Others,MSMB Others,,,18,Mobility Voice
WLS,Others,MSMB Others,,,4,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,MTD,7,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,,4,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,3,Mobility Voice
WLS,Others,MSMB Others,,,5,Mobility Voice
WLS,Others,MSMB Others,,,4,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,3,Mobility Voice
WLS,Others,MSMB Others,,,3,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,,22,Mobility Voice
WLS,Others,MSMB Others,,,8,Mobility Voice
WLS,Others,MSMB Others,,,3,Mobility Voice
WLS,Others,MSMB Others,,,3,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,3,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,,3,Mobility Voice
WLS,Others,MSMB Others,,,5,Mobility Voice
WLS,Others,MSMB Others,,MTD,5,Mobility Voice
WLS,Others,MSMB Others,,,8,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,,4,Mobility Voice
WLS,Others,MSMB Others,,MTD,1,Mobility Voice
WLS,Others,MSMB Others,,MTD,1,Mobility Voice
WLS,Others,MSMB Others,,,4,Mobility Voice
WLS,Others,MSMB Others,,MTD,10,Mobility Voice
WLS,Others,MSMB Others,,,5,Mobility Voice
WLS,Others,MSMB Others,,,1,Mobility Voice
WLS,Others,MSMB Others,,,14,Mobility Voice
WLS,Others,MSMB Others,,,10,Mobility Voice
WLS,Others,MSMB Others,,,4,Mobility Voice
WLS,Others,MSMB Others,,,5,Mobility Voice
